func_sexo;func_idade;func_racacor;func_escolaridade;func_uf;func_deficiencia;empresa_porte;empresa_setor;contrato_horastrabalho;contrato_salario;turnover_apos_1_ano
MASCULINO;26;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;1000 OU MAIS;Indústria;44;1490,73;SIM
FEMININO;28;AMARELA-BRANCA;MEDIO COMPLETO;BA;NAO;ATE 4;Comércio;44;1640,06;SIM
FEMININO;37;PRETA-PARDA;MEDIO COMPLETO;MA;NAO;DE 50 A 99;Serviços;44;1535,53;NAO
MASCULINO;49;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;RN;NAO;ATE 4;Serviços;44;1213,57;NAO
MASCULINO;38;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;BA;NAO;1000 OU MAIS;Indústria;44;1024,98;NAO
MASCULINO;28;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 5 A 9;Agricultura;44;997,99;NAO
MASCULINO;61;AMARELA-BRANCA;FUND_COMPLETO-MEDIO_INCOMPLETO;PB;NAO;DE 10 A 19;Construçao civil;44;1759,99;NAO
FEMININO;35;AMARELA-BRANCA;SUPERIOR_COMPLETO;RN;NAO;1000 OU MAIS;Serviços;36;1715,7;SIM
MASCULINO;27;PRETA-PARDA;SUPERIOR_COMPLETO;BA;NAO;DE 20 A 49;Comércio;44;1446,94;SIM
MASCULINO;41;PRETA-PARDA;MEDIO COMPLETO;MA;NAO;ATE 4;Comércio;44;1025,8;NAO
MASCULINO;34;PRETA-PARDA;MEDIO COMPLETO;PI;NAO;DE 20 A 49;Construçao civil;44;1064,8;NAO
FEMININO;66;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;BA;NAO;DE 5 A 9;Comércio;44;2034,74;SIM
FEMININO;19;SEM INFO;SUPERIOR_INCOMPLETO;CE;NAO;DE 50 A 99;Comércio;0;624,92;NAO
MASCULINO;26;PRETA-PARDA;MEDIO COMPLETO;PI;NAO;ATE 4;Construçao civil;44;963,68;NAO
FEMININO;27;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;ATE 4;Comércio;36;1103,3;NAO
FEMININO;26;PRETA-PARDA;MEDIO COMPLETO;AL;NAO;ATE 4;Serviços;44;1130,6;NAO
MASCULINO;41;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 10 A 19;Comércio;44;1197,59;NAO
MASCULINO;48;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;BA;NAO;DE 50 A 99;Serviços;44;1184,5;NAO
FEMININO;61;PRETA-PARDA;SUPERIOR_COMPLETO;SE;NAO;DE 250 A 499;Serviços;18;2300,83;SIM
MASCULINO;48;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;PE;NAO;DE 100 A 249;Agricultura;44;1451,52;NAO
MASCULINO;21;PRETA-PARDA;SUPERIOR_INCOMPLETO;PB;NAO;DE 100 A 249;Comércio;44;1142,76;NAO
MASCULINO;29;PRETA-PARDA;MEDIO COMPLETO;RN;NAO;ATE 4;Comércio;44;998;NAO
MASCULINO;29;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;1000 OU MAIS;Serviços;44;1026,43;NAO
FEMININO;36;SEM INFO;SUPERIOR_INCOMPLETO;PE;NAO;ATE 4;Comércio;44;1839,19;NAO
MASCULINO;37;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;RN;NAO;DE 10 A 19;Agricultura;44;1013,98;NAO
MASCULINO;29;PRETA-PARDA;SUPERIOR_INCOMPLETO;BA;NAO;DE 5 A 9;Serviços;44;1009,09;NAO
FEMININO;40;PRETA-PARDA;SUPERIOR_COMPLETO;PI;NAO;DE 250 A 499;Serviços;44;1919,75;SIM
FEMININO;24;PRETA-PARDA;MEDIO COMPLETO;PB;NAO;DE 5 A 9;Comércio;44;1103,66;NAO
MASCULINO;38;PRETA-PARDA;SUPERIOR_COMPLETO;CE;NAO;DE 100 A 249;Comércio;44;5418,79;SIM
MASCULINO;34;AMARELA-BRANCA;MEDIO COMPLETO;PE;NAO;DE 20 A 49;Serviços;44;2627,79;SIM
MASCULINO;28;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 20 A 49;Serviços;1;754,92;NAO
MASCULINO;28;PRETA-PARDA;MEDIO COMPLETO;MA;NAO;DE 250 A 499;Indústria;44;2396,36;NAO
MASCULINO;48;PRETA-PARDA;MEDIO COMPLETO;PI;NAO;DE 20 A 49;Serviços;36;3510,52;SIM
MASCULINO;25;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 20 A 49;Serviços;44;1447,37;SIM
FEMININO;35;PRETA-PARDA;SUPERIOR_INCOMPLETO;AL;NAO;DE 50 A 99;Serviços;44;1437,46;NAO
MASCULINO;28;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 100 A 249;Comércio;44;1113,26;NAO
MASCULINO;57;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 50 A 99;Construçao civil;44;1770,39;NAO
MASCULINO;32;SEM INFO;MEDIO COMPLETO;BA;NAO;DE 20 A 49;Serviços;44;998;NAO
FEMININO;23;SEM INFO;MEDIO COMPLETO;AL;NAO;DE 5 A 9;Comércio;44;1017,12;NAO
MASCULINO;40;PRETA-PARDA;SUPERIOR_COMPLETO;CE;NAO;DE 500 A 999;Serviços;44;6854,25;SIM
FEMININO;28;AMARELA-BRANCA;SUPERIOR_COMPLETO;PE;NAO;DE 100 A 249;Serviços;44;2071,98;SIM
FEMININO;21;AMARELA-BRANCA;MEDIO COMPLETO;BA;NAO;DE 50 A 99;Comércio;44;1022;NAO
FEMININO;24;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;ATE 4;Comércio;44;1310,62;NAO
MASCULINO;28;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 20 A 49;Comércio;44;2487,54;NAO
FEMININO;36;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;ATE 4;Comércio;44;1646,26;SIM
FEMININO;25;PRETA-PARDA;MEDIO COMPLETO;RN;NAO;DE 5 A 9;Comércio;44;1292,24;NAO
MASCULINO;63;AMARELA-BRANCA;MEDIO COMPLETO;CE;NAO;DE 50 A 99;Serviços;44;5584,25;SIM
MASCULINO;32;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;1000 OU MAIS;Serviços;44;2106,06;SIM
MASCULINO;34;SEM INFO;MEDIO COMPLETO;RN;NAO;ATE 4;Comércio;44;1135,33;NAO
FEMININO;22;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 50 A 99;Comércio;44;1055,24;NAO
FEMININO;37;PRETA-PARDA;SUPERIOR_INCOMPLETO;PE;NAO;ATE 4;Serviços;44;3217,38;SIM
MASCULINO;51;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 20 A 49;Comércio;44;2159,82;NAO
MASCULINO;27;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 10 A 19;Comércio;44;2571,39;NAO
FEMININO;34;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 100 A 249;Agricultura;44;799,68;NAO
FEMININO;35;PRETA-PARDA;SUPERIOR_COMPLETO;MA;NAO;ATE 4;Comércio;40;1143,58;NAO
MASCULINO;22;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;CE;NAO;ATE 4;Comércio;44;998;NAO
MASCULINO;38;AMARELA-BRANCA;MEDIO COMPLETO;PE;NAO;DE 50 A 99;Comércio;0;2785,6;SIM
MASCULINO;35;AMARELA-BRANCA;FUND_COMPLETO-MEDIO_INCOMPLETO;MA;NAO;ATE 4;Agricultura;44;435,48;NAO
MASCULINO;20;PRETA-PARDA;SUPERIOR_INCOMPLETO;BA;NAO;DE 10 A 19;Comércio;44;1452,61;SIM
MASCULINO;52;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 20 A 49;Serviços;30;1565,56;SIM
MASCULINO;22;PRETA-PARDA;MEDIO COMPLETO;AL;NAO;DE 10 A 19;Comércio;44;987,15;NAO
MASCULINO;21;SEM INFO;MEDIO COMPLETO;AL;NAO;ATE 4;Serviços;44;1200;NAO
FEMININO;23;PRETA-PARDA;MEDIO COMPLETO;SE;NAO;1000 OU MAIS;Serviços;36;1487,26;SIM
MASCULINO;31;PRETA-PARDA;SUPERIOR_COMPLETO;PE;NAO;DE 500 A 999;Serviços;44;1886,87;SIM
FEMININO;22;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 50 A 99;Serviços;44;1441,77;SIM
MASCULINO;54;AMARELA-BRANCA;MEDIO COMPLETO;BA;NAO;DE 50 A 99;Serviços;36;1450,4;SIM
MASCULINO;21;SEM INFO;MEDIO COMPLETO;BA;NAO;DE 250 A 499;Indústria;44;718,53;NAO
FEMININO;36;PRETA-PARDA;SUPERIOR_COMPLETO;AL;NAO;DE 10 A 19;Comércio;44;1111,89;NAO
FEMININO;30;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 10 A 19;Comércio;44;1132,66;NAO
FEMININO;25;AMARELA-BRANCA;MEDIO COMPLETO;MA;NAO;DE 50 A 99;Comércio;44;1843,84;SIM
MASCULINO;23;PRETA-PARDA;MEDIO COMPLETO;AL;NAO;1000 OU MAIS;Serviços;36;1308,81;SIM
FEMININO;27;AMARELA-BRANCA;MEDIO COMPLETO;BA;NAO;DE 20 A 49;Serviços;36;1077,1;NAO
MASCULINO;38;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 250 A 499;Serviços;44;2156,62;SIM
FEMININO;42;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 10 A 19;Indústria;44;900,56;SIM
MASCULINO;47;SEM INFO;ANALFABETO-FUND_INCOMPLETO;BA;NAO;ATE 4;Agricultura;44;1533,54;SIM
FEMININO;35;AMARELA-BRANCA;MEDIO COMPLETO;CE;NAO;DE 10 A 19;Indústria;44;1040,4;NAO
MASCULINO;31;PRETA-PARDA;MEDIO COMPLETO;RN;NAO;ATE 4;Comércio;44;1052,95;NAO
MASCULINO;38;SEM INFO;MEDIO COMPLETO;PE;NAO;DE 20 A 49;Serviços;44;1053,63;NAO
MASCULINO;41;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;ATE 4;Comércio;44;1832,28;SIM
MASCULINO;46;AMARELA-BRANCA;ANALFABETO-FUND_INCOMPLETO;PE;SIM;DE 10 A 19;Serviços;44;1546,09;SIM
FEMININO;21;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;1000 OU MAIS;Serviços;30;1664,35;SIM
MASCULINO;19;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;PE;NAO;ATE 4;Indústria;44;1391,1;NAO
FEMININO;43;PRETA-PARDA;MEDIO COMPLETO;SE;NAO;DE 20 A 49;Serviços;44;1489,08;SIM
FEMININO;31;AMARELA-BRANCA;MEDIO COMPLETO;CE;NAO;ATE 4;Comércio;44;1059;NAO
MASCULINO;26;SEM INFO;SUPERIOR_COMPLETO;BA;NAO;DE 10 A 19;Serviços;44;1602,25;NAO
MASCULINO;41;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 100 A 249;Serviços;44;2211,07;SIM
MASCULINO;20;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 20 A 49;Serviços;44;1131,45;NAO
FEMININO;39;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 50 A 99;Comércio;44;1636,02;SIM
MASCULINO;25;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;CE;NAO;DE 20 A 49;Serviços;44;2227,98;SIM
MASCULINO;60;AMARELA-BRANCA;SUPERIOR_COMPLETO;CE;NAO;1000 OU MAIS;Serviços;40;20938,93;SIM
MASCULINO;30;SEM INFO;MEDIO COMPLETO;BA;NAO;DE 250 A 499;Serviços;44;1832,74;SIM
MASCULINO;22;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 20 A 49;Serviços;44;1864,8;NAO
FEMININO;30;PRETA-PARDA;SUPERIOR_INCOMPLETO;BA;NAO;DE 10 A 19;Serviços;44;1914,71;NAO
FEMININO;22;PRETA-PARDA;SUPERIOR_INCOMPLETO;BA;SIM;DE 50 A 99;Serviços;32;1298,09;SIM
FEMININO;40;PRETA-PARDA;MEDIO COMPLETO;MA;NAO;1000 OU MAIS;Serviços;44;1242,15;NAO
FEMININO;21;PRETA-PARDA;MEDIO COMPLETO;PI;NAO;1000 OU MAIS;Serviços;36;849,06;NAO
MASCULINO;21;AMARELA-BRANCA;MEDIO COMPLETO;CE;NAO;DE 20 A 49;Comércio;44;2336,21;SIM
MASCULINO;20;AMARELA-BRANCA;FUND_COMPLETO-MEDIO_INCOMPLETO;MA;NAO;DE 250 A 499;Agricultura;44;921,21;NAO
MASCULINO;42;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 10 A 19;Serviços;44;1738,18;NAO
FEMININO;23;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;1000 OU MAIS;Serviços;36;1004,53;NAO
MASCULINO;28;SEM INFO;MEDIO COMPLETO;BA;NAO;DE 20 A 49;Construçao civil;44;1734,21;NAO
FEMININO;23;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 5 A 9;Serviços;44;1501,5;SIM
FEMININO;26;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 20 A 49;Comércio;44;883,04;NAO
FEMININO;33;SEM INFO;SUPERIOR_COMPLETO;MA;NAO;DE 500 A 999;Serviços;36;2448,56;NAO
FEMININO;21;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;1000 OU MAIS;Indústria;18;703,7;NAO
FEMININO;32;SEM INFO;SUPERIOR_INCOMPLETO;CE;NAO;DE 20 A 49;Serviços;44;1553,78;NAO
MASCULINO;22;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;MA;NAO;DE 250 A 499;Comércio;0;498,41;NAO
MASCULINO;23;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 250 A 499;Serviços;40;1101,88;NAO
FEMININO;46;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 20 A 49;Serviços;44;1006,44;NAO
MASCULINO;50;SEM INFO;MEDIO COMPLETO;CE;NAO;DE 100 A 249;Serviços;44;1304,77;NAO
MASCULINO;25;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;BA;NAO;ATE 4;Agricultura;44;991,57;NAO
FEMININO;32;SEM INFO;MEDIO COMPLETO;CE;NAO;DE 10 A 19;Indústria;44;1138,54;NAO
MASCULINO;19;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 5 A 9;Comércio;44;998;NAO
MASCULINO;32;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 500 A 999;Indústria;44;1436,44;SIM
FEMININO;34;SEM INFO;MEDIO COMPLETO;CE;NAO;DE 20 A 49;Serviços;36;598,25;NAO
MASCULINO;28;PRETA-PARDA;MEDIO COMPLETO;PB;NAO;DE 100 A 249;Serviços;44;1479,63;NAO
FEMININO;32;SEM INFO;SUPERIOR_COMPLETO;BA;NAO;DE 250 A 499;Indústria;44;1200;NAO
MASCULINO;37;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;BA;NAO;ATE 4;Agricultura;44;1508,7;SIM
MASCULINO;46;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;CE;NAO;DE 10 A 19;Construçao civil;44;1055,5;NAO
FEMININO;29;AMARELA-BRANCA;FUND_COMPLETO-MEDIO_INCOMPLETO;RN;NAO;ATE 4;Serviços;44;974;NAO
FEMININO;29;SEM INFO;MEDIO COMPLETO;MA;NAO;DE 250 A 499;Serviços;44;1218,89;NAO
MASCULINO;32;AMARELA-BRANCA;MEDIO COMPLETO;BA;NAO;DE 20 A 49;Serviços;44;1525,14;SIM
MASCULINO;29;AMARELA-BRANCA;FUND_COMPLETO-MEDIO_INCOMPLETO;PE;NAO;DE 5 A 9;Comércio;44;1353,16;NAO
FEMININO;43;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;ATE 4;Serviços;44;998;NAO
FEMININO;36;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;CE;NAO;DE 10 A 19;Comércio;44;1279,27;NAO
FEMININO;36;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 5 A 9;Comércio;44;997,95;NAO
FEMININO;35;PRETA-PARDA;SUPERIOR_COMPLETO;MA;NAO;DE 20 A 49;Serviços;18;1748,98;SIM
FEMININO;26;SEM INFO;MEDIO COMPLETO;BA;NAO;DE 5 A 9;Serviços;40;998;NAO
FEMININO;27;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 50 A 99;Serviços;44;1656,31;SIM
MASCULINO;22;PRETA-PARDA;SUPERIOR_INCOMPLETO;AL;NAO;DE 250 A 499;Comércio;44;1620,88;SIM
MASCULINO;31;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;1000 OU MAIS;Serviços;44;1201,9;NAO
FEMININO;31;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 5 A 9;Serviços;44;1066,29;NAO
MASCULINO;22;SEM INFO;MEDIO COMPLETO;BA;NAO;DE 20 A 49;Serviços;44;1370,51;NAO
FEMININO;33;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;1000 OU MAIS;Serviços;44;918,41;NAO
FEMININO;32;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;1000 OU MAIS;Serviços;36;1520,5;SIM
MASCULINO;36;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;BA;NAO;DE 100 A 249;Agricultura;44;1480,38;NAO
MASCULINO;45;PRETA-PARDA;MEDIO COMPLETO;PI;NAO;DE 5 A 9;Comércio;44;1627,04;SIM
MASCULINO;32;PRETA-PARDA;SUPERIOR_COMPLETO;CE;NAO;DE 5 A 9;Serviços;44;1431;NAO
MASCULINO;34;PRETA-PARDA;SUPERIOR_INCOMPLETO;PE;NAO;1000 OU MAIS;Serviços;36;1467,78;SIM
MASCULINO;27;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 20 A 49;Serviços;44;1954,39;SIM
FEMININO;32;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 500 A 999;Serviços;36;1553,23;SIM
MASCULINO;30;PRETA-PARDA;SUPERIOR_COMPLETO;CE;NAO;DE 500 A 999;Serviços;44;4110,27;SIM
MASCULINO;27;SEM INFO;MEDIO COMPLETO;RN;NAO;DE 100 A 249;Agricultura;44;732,73;NAO
FEMININO;37;AMARELA-BRANCA;MEDIO COMPLETO;CE;NAO;1000 OU MAIS;Serviços;44;1465,05;NAO
FEMININO;31;AMARELA-BRANCA;ANALFABETO-FUND_INCOMPLETO;PE;NAO;DE 20 A 49;Serviços;44;1715,76;SIM
MASCULINO;37;SEM INFO;FUND_COMPLETO-MEDIO_INCOMPLETO;BA;NAO;ATE 4;Agricultura;44;1098,11;NAO
MASCULINO;64;PRETA-PARDA;MEDIO COMPLETO;MA;NAO;DE 10 A 19;Serviços;44;1500;NAO
FEMININO;22;PRETA-PARDA;SUPERIOR_COMPLETO;PB;NAO;ATE 4;Serviços;44;1200;NAO
MASCULINO;27;PRETA-PARDA;SUPERIOR_COMPLETO;CE;NAO;DE 500 A 999;Serviços;44;6366,72;SIM
FEMININO;40;PRETA-PARDA;SUPERIOR_COMPLETO;BA;NAO;DE 5 A 9;Comércio;44;1200;NAO
MASCULINO;23;SEM INFO;MEDIO COMPLETO;PB;NAO;ATE 4;Serviços;44;998;NAO
FEMININO;38;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 10 A 19;Serviços;22;563,16;NAO
MASCULINO;23;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;BA;NAO;DE 20 A 49;Agricultura;44;998,41;NAO
FEMININO;38;SEM INFO;SUPERIOR_COMPLETO;BA;NAO;DE 100 A 249;Serviços;44;3326,98;NAO
FEMININO;25;SEM INFO;MEDIO COMPLETO;MA;NAO;DE 20 A 49;Serviços;44;1080,04;NAO
MASCULINO;22;PRETA-PARDA;SUPERIOR_INCOMPLETO;CE;NAO;DE 250 A 499;Serviços;44;1725,51;SIM
MASCULINO;21;PRETA-PARDA;MEDIO COMPLETO;PB;NAO;DE 50 A 99;Indústria;44;1524,57;SIM
MASCULINO;40;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 20 A 49;Indústria;44;2073,3;NAO
FEMININO;42;AMARELA-BRANCA;SUPERIOR_COMPLETO;CE;NAO;ATE 4;Serviços;44;962,96;NAO
FEMININO;24;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;PE;NAO;1000 OU MAIS;Agricultura;43;1145,19;NAO
MASCULINO;25;AMARELA-BRANCA;SUPERIOR_INCOMPLETO;PE;NAO;1000 OU MAIS;Serviços;36;1057,86;NAO
MASCULINO;49;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;PE;NAO;DE 100 A 249;Construçao civil;44;1123,2;NAO
MASCULINO;34;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;CE;NAO;DE 100 A 249;Comércio;44;1863,03;SIM
MASCULINO;27;SEM INFO;SUPERIOR_COMPLETO;BA;NAO;DE 10 A 19;Serviços;44;2967,58;SIM
MASCULINO;47;PRETA-PARDA;SUPERIOR_COMPLETO;BA;NAO;1000 OU MAIS;Serviços;30;1681,87;NAO
MASCULINO;24;PRETA-PARDA;MEDIO COMPLETO;BA;SIM;DE 500 A 999;Indústria;44;2214,3;SIM
FEMININO;26;PRETA-PARDA;MEDIO COMPLETO;AL;NAO;ATE 4;Serviços;44;965,8;NAO
FEMININO;27;PRETA-PARDA;MEDIO COMPLETO;MA;NAO;ATE 4;Comércio;20;998,01;NAO
FEMININO;39;AMARELA-BRANCA;SUPERIOR_COMPLETO;BA;NAO;DE 50 A 99;Serviços;44;1797,93;NAO
MASCULINO;59;AMARELA-BRANCA;FUND_COMPLETO-MEDIO_INCOMPLETO;PB;NAO;DE 500 A 999;Serviços;44;1917,78;SIM
FEMININO;42;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;MA;NAO;DE 50 A 99;Serviços;44;1493;NAO
MASCULINO;24;PRETA-PARDA;SUPERIOR_COMPLETO;CE;NAO;1000 OU MAIS;Serviços;1;2393,68;NAO
MASCULINO;34;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 10 A 19;Serviços;44;1322,87;NAO
MASCULINO;21;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;1000 OU MAIS;Serviços;34;1332,16;SIM
MASCULINO;39;SEM INFO;FUND_COMPLETO-MEDIO_INCOMPLETO;PE;NAO;DE 20 A 49;Serviços;44;1659,88;NAO
FEMININO;44;AMARELA-BRANCA;MEDIO COMPLETO;BA;NAO;ATE 4;Serviços;44;1200;NAO
